customer_id,name,address,age,product,category,inquiry,purchase_date
CUSTOMER_ID_e879607a,PERSON_b7a58ea1,ADDRESS_2d6d211f,20,商品A,家電,PERSON_b7a58ea1様から商品Aについて問い合わせがありました。PHONE_NUMBER_6026544dへ折り返し希望とのことです。,2026-01-01
CUSTOMER_ID_869c46d4,PERSON_c0876ddd,ADDRESS_150bcbbf,21,商品B,衣料,PERSON_237d5cc9が商品Bを購入されました。特記事項なし。,2026-02-02
CUSTOMER_ID_eeed7db4,PERSON_43981dd2,ADDRESS_55bd9020,22,商品C,食品,担当のPERSON_0debedb6がPERSON_c8011c8fに商品Cをご案内しました。,2026-03-03
CUSTOMER_ID_6d34f415,PERSON_3a34f8cc,ADDRESS_2d6d211f,23,商品A,家電,PERSON_bf7fb3b7から商品Aについて問い合わせがありました。PHONE_NUMBER_6026544dへ折り返し希望とのことです。,2026-04-04
CUSTOMER_ID_e3412001,PERSON_528127bb,ADDRESS_150bcbbf,24,商品B,衣料,PERSON_fa65ae0e健一様が商品Bを購入されました。特記事項なし。,2026-05-05
CUSTOMER_ID_ffdb4d9e,PERSON_b7a58ea1,ADDRESS_55bd9020,25,商品C,食品,担当のPERSON_0debedb6がPERSON_b7a58ea1様に商品Cをご案内しました。,2026-06-06
CUSTOMER_ID_92f731c4,PERSON_c0876ddd,ADDRESS_2d6d211f,26,商品A,家電,PERSON_237d5cc9から商品Aについて問い合わせがありました。PHONE_NUMBER_6026544dへ折り返し希望とのことです。,2026-07-07
CUSTOMER_ID_9e491783,PERSON_43981dd2,ADDRESS_150bcbbf,27,商品B,衣料,PERSON_c8011c8fが商品Bを購入されました。特記事項なし。,2026-08-08
CUSTOMER_ID_c96ca201,PERSON_3a34f8cc,ADDRESS_55bd9020,28,商品C,食品,担当のPERSON_0debedb6がPERSON_bf7fb3b7に商品Cをご案内しました。,2026-09-09
CUSTOMER_ID_465bc439,PERSON_528127bb,ADDRESS_2d6d211f,29,商品A,家電,PERSON_fa65ae0e健一様から商品Aについて問い合わせがありました。PHONE_NUMBER_6026544dへ折り返し希望とのことです。,2026-10-10
CUSTOMER_ID_5645a53c,PERSON_b7a58ea1,ADDRESS_150bcbbf,30,商品B,衣料,PERSON_c0cd75edが商品Bを購入されました。特記事項なし。,2026-11-11
CUSTOMER_ID_5c7726e3,PERSON_c0876ddd,ADDRESS_55bd9020,31,商品C,食品,担当のPERSON_0debedb6がPERSON_c0876ddd様に商品Cをご案内しました。,2026-12-12
CUSTOMER_ID_1f3a2ea9,PERSON_43981dd2,ADDRESS_2d6d211f,32,商品A,家電,PERSON_c8011c8fから商品Aについて問い合わせがありました。PHONE_NUMBER_6026544dへ折り返し希望とのことです。,2026-01-13
CUSTOMER_ID_35056399,PERSON_3a34f8cc,ADDRESS_150bcbbf,33,商品B,衣料,PERSON_bf7fb3b7が商品Bを購入されました。特記事項なし。,2026-02-14
CUSTOMER_ID_c6392834,PERSON_528127bb,ADDRESS_55bd9020,34,商品C,食品,担当のPERSON_0debedb6がPERSON_fa65ae0e健一様に商品Cをご案内しました。,2026-03-15
